Descrição do serviço,ID do serviço,Custo (R$),Programas de economia (R$),Outras economias (R$),Subtotal não arredondado (R$),Subtotal (R$),Mudança percentual no subtotal em comparação ao período anterior
App Engine,F17B-412E-CB64,"55,49","0,00","0,00","55,492630","55,49",10370%
Maps API,1934-AA85-20F9,"45,50","0,00","0,00","45,503278","45,50",Novo
Cloud Storage,95FF-2EF5-5EA1,"4,28","0,00","0,00","4,281247","4,28",2753%
Artifact Registry,149C-F9EC-3994,"0,11","0,00","0,00","0,112025","0,11",Novo
Cloud Run Functions,29E7-DA93-CA13,"3,98","0,00","- 3,98","0,000000","0,00",0%
,,,,Subtotal,"105,389180","105,39"
,,,,Tributo,"0,000000","0,00"
,,,,Total,"105,389180","105,39"
